team1,team2,possession team1,possession team2,possession in contest,goals team1,goals team2,date,hour,category,attempts team1,attempts team2,total attempts,scored team1,scored team2,total goals,Shot Conversion team1,Shot Conversion team2,goal inside the penalty area team1,goal inside the penalty area team2,total goals inside penalty area,goal outside the penalty area team1,goal outside the penalty area team2,total goals outside penalty area,assists team1,assists team2,on target attempts team1,on target attempts team2,off target attempts team1,off target attempts team2,attempts inside the penalty area team1,attempts inside the penalty area  team2,total attempts inside penalty area,attempts outside the penalty area team1,attempts outside the penalty area team2,total attempts outside penalty area,yellow cards team1,yellow cards team2,total yellow cards,red cards team1,red cards team2,total red cards,fouls by team1,fouls by team2,total fouls,offsides team1,offsides team2,total offsides,passes team1,passes team2,total passes,passes completed team1,passes completed team2,crosses team1,crosses team2,total crosses,crosses completed team1,crosses completed team2,corners team1,corners team2,total corners,free kicks team1,free kicks team2,total free kicks,penalties scored team1,penalties scored team2,total penalties scored,goal preventions team1,goal preventions team2,own goals team1,own goals team2,total own goals
QATAR,ECUADOR,42%,50%,8%,0,2,20-11-2022,17:00:00,Group Stage,5,6,11,0,2,2,0%,33%,0,2,2,0,0,0,0,1,0,3,5,3,2,4,6,3,2,5,4,2,6,0,0,0,15,15,30,3,4,7,450,480,930,381,409,9,14,23,4,4,1,3,4,19,17,36,0,1,1,6,5,0,0,0
ENGLAND,IRAN,72%,19%,9%,6,2,21-11-2022,14:00:00,Group Stage,13,8,21,6,2,8,46%,25%,6,2,8,0,0,0,6,1,7,3,3,4,10,6,16,3,2,5,0,2,2,0,0,0,14,9,23,2,2,4,809,224,1033,730,154,23,8,31,7,1,8,0,8,16,10,26,0,1,1,8,13,0,0,0
SENEGAL,NETHERLANDS,44%,45%,11%,0,2,21-11-2022,17:00:00,Group Stage,14,9,23,0,2,2,0%,22%,0,2,2,0,0,0,0,1,3,3,8,5,7,5,12,7,4,11,2,1,3,0,0,0,13,13,26,2,1,3,383,438,821,313,374,19,25,44,7,8,6,7,13,14,14,28,0,0,0,9,15,0,0,0
UNITED STATES,WALES,51%,39%,10%,1,1,21-11-2022,20:00:00,Group Stage,6,7,13,1,1,2,17%,14%,1,1,2,0,0,0,1,0,1,3,4,3,4,5,9,2,2,4,4,2,6,0,0,0,10,15,25,1,1,2,569,409,978,509,321,31,15,46,4,6,5,3,8,11,15,26,0,1,1,7,7,0,0,0
ARGENTINA,SAUDI ARABIA,64%,24%,12%,1,2,22-11-2022,11:00:00,Group Stage,14,3,17,1,2,3,7%,67%,1,2,3,0,0,0,0,1,6,2,5,0,10,3,13,4,0,4,0,6,6,0,0,0,21,7,28,10,1,11,610,267,877,529,190,29,9,38,12,2,9,2,11,22,16,38,1,0,1,4,14,0,0,0
DENMARK,TUNISIA,55%,33%,12%,0,0,22-11-2022,14:00:00,Group Stage,11,11,22,0,0,0,0%,0%,0,0,0,0,0,0,0,0,4,1,4,7,7,6,13,4,5,9,2,1,3,0,0,0,10,9,19,1,1,2,594,387,981,523,302,27,13,40,10,3,11,9,20,11,10,21,0,0,0,11,11,0,0,0
MEXICO,POLAND,54%,31%,15%,0,0,22-11-2022,17:00:00,Group Stage,13,8,21,0,0,0,0%,0%,0,0,0,0,0,0,0,0,4,1,5,4,10,7,17,3,1,4,2,1,3,0,0,0,16,14,30,3,0,3,485,322,807,422,241,33,10,43,8,2,6,5,11,16,16,32,0,0,0,8,15,0,0,0
FRANCE,AUSTRALIA,56%,35%,9%,4,1,22-11-2022,20:00:00,Group Stage,22,4,26,4,1,5,18%,25%,4,1,5,0,0,0,4,1,7,1,9,3,18,2,20,4,2,6,0,3,3,0,0,0,11,5,16,0,0,0,734,466,1200,672,399,34,9,43,17,2,8,1,9,11,5,16,0,0,0,4,22,0,0,0
MOROCCO,CROATIA,32%,57%,12%,0,0,23-11-2022,11:00:00,Group Stage,8,6,14,0,0,0,0%,0%,0,0,0,0,0,0,0,0,2,2,0,2,3,4,7,5,2,7,1,0,1,0,0,0,11,17,28,0,1,1,360,667,1027,290,592,10,19,29,1,4,0,5,5,12,17,29,0,0,0,7,8,0,0,0
GERMANY,JAPAN,65%,22%,13%,1,2,23-11-2022,14:00:00,Group Stage,25,10,35,1,2,3,4%,20%,1,2,3,0,0,0,0,1,9,3,11,6,15,10,25,10,0,10,0,0,0,0,0,0,14,6,20,4,4,8,820,261,1081,743,207,28,16,44,9,3,6,6,12,17,10,27,1,0,1,12,26,0,0,0
